,Description,Chromosome.Name,Gene.Start..bp.,Gene.End..bp.,Associated.Gene.Name,Gene.Biotype
ENSG00000183128,calcium homeostasis modulator 3 [Source:HGNC Symbol;Acc:23458],10,105232561,105238997,CALHM3,protein_coding
ENSG00000069329,vacuolar protein sorting 35 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:13487],16,46690054,46723430,VPS35,protein_coding
ENSG00000111196,mago-nashi homolog B (Drosophila) [Source:HGNC Symbol;Acc:25504],12,10758612,10766222,MAGOHB,protein_coding
ENSG00000126353,chemokine (C-C motif) receptor 7 [Source:HGNC Symbol;Acc:1608],17,38710021,38721724,CCR7,protein_coding
ENSG00000266964,FXYD domain containing ion transport regulator 1 [Source:HGNC Symbol;Acc:4025],19,35629712,35634013,FXYD1,protein_coding
ENSG00000164325,transmembrane protein 174 [Source:HGNC Symbol;Acc:28187],5,72469022,72470970,TMEM174,protein_coding
ENSG00000126603,GLIS family zinc finger 2 [Source:HGNC Symbol;Acc:29450],16,4364762,4389598,GLIS2,protein_coding
ENSG00000183161,"Fanconi anemia, complementation group F [Source:HGNC Symbol;Acc:3587]",11,22644079,22647387,FANCF,protein_coding
ENSG00000116198,centrosomal protein 104kDa [Source:HGNC Symbol;Acc:24866],1,3728645,3773778,CEP104,protein_coding
ENSG00000196366,chromosome 9 open reading frame 163 [Source:HGNC Symbol;Acc:26718],9,139377947,139380518,C9orf163,protein_coding
ENSG00000259003,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3V486],14,23025534,23027939,AE000662.92,protein_coding
ENSG00000229387,,11,22646860,22647369,AC103801.2,protein_coding
ENSG00000112658,serum response factor (c-fos serum response element-binding transcription factor) [Source:HGNC Symbol;Acc:11291],6,43139037,43149243,SRF,protein_coding
ENSG00000196584,X-ray repair complementing defective repair in Chinese hamster cells 2 [Source:HGNC Symbol;Acc:12829],7,152341864,152373250,XRCC2,protein_coding
ENSG00000066557,leucine rich repeat containing 40 [Source:HGNC Symbol;Acc:26004],1,70610488,70671303,LRRC40,protein_coding
ENSG00000129562,defender against cell death 1 [Source:HGNC Symbol;Acc:2664],14,23033805,23058175,DAD1,protein_coding
ENSG00000106025,tetraspanin 12 [Source:HGNC Symbol;Acc:21641],7,120427376,120498456,TSPAN12,protein_coding
ENSG00000148400,notch 1 [Source:HGNC Symbol;Acc:7881],9,139388896,139440314,NOTCH1,protein_coding
ENSG00000115816,"CCAAT/enhancer binding protein (C/EBP), zeta [Source:HGNC Symbol;Acc:24218]",2,37428755,37458856,CEBPZ,protein_coding
ENSG00000174226,sorting nexin 31 [Source:HGNC Symbol;Acc:28605],8,101585116,101675643,SNX31,protein_coding
ENSG00000156642,neuroplastin [Source:HGNC Symbol;Acc:17867],15,73852355,73926475,NPTN,protein_coding
ENSG00000134874,DAZ interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:20908],13,96230457,96296957,DZIP1,protein_coding
ENSG00000148935,growth arrest-specific 2 [Source:HGNC Symbol;Acc:4167],11,22647188,22834601,GAS2,protein_coding
ENSG00000228933,,X,27193037,27417114,RP11-268G12.1,lincRNA
ENSG00000217930,presequence translocase-associated motor 16 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:29679],16,4381550,4405608,PAM16,protein_coding
ENSG00000117758,syntaxin 12 [Source:HGNC Symbol;Acc:11430],1,28099694,28150963,STX12,protein_coding
ENSG00000206422,leucine rich repeat containing 30 [Source:HGNC Symbol;Acc:30219],18,7231123,7232045,LRRC30,protein_coding
ENSG00000269337,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0R1G5],9,70646589,70648956,AL591479.1,protein_coding
ENSG00000136514,receptor (chemosensory) transporter protein 4 [Source:HGNC Symbol;Acc:23992],3,187086120,187089864,RTP4,protein_coding
ENSG00000100439,abhydrolase domain containing 4 [Source:HGNC Symbol;Acc:20154],14,23067146,23081265,ABHD4,protein_coding
ENSG00000180787,ZFP3 zinc finger protein [Source:HGNC Symbol;Acc:12861],17,4981543,4999669,ZFP3,protein_coding
ENSG00000204344,serine/threonine kinase 19 [Source:HGNC Symbol;Acc:11398],6,31938868,31950598,STK19,protein_coding
ENSG00000139610,"chymotrypsin-like elastase family, member 1 [Source:HGNC Symbol;Acc:3308]",12,51722227,51740463,CELA1,protein_coding
ENSG00000005469,carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:2366],7,86974997,87029111,CROT,protein_coding
ENSG00000172969,"FSHD region gene 2 family, member C [Source:HGNC Symbol;Acc:33626]",3,75713481,75716371,FRG2C,protein_coding
ENSG00000221946,FXYD domain containing ion transport regulator 7 [Source:HGNC Symbol;Acc:4034],19,35634154,35645204,FXYD7,protein_coding
ENSG00000157005,somatostatin [Source:HGNC Symbol;Acc:11329],3,187386694,187388187,SST,protein_coding
ENSG00000134317,grainyhead-like 1 (Drosophila) [Source:HGNC Symbol;Acc:17923],2,10085341,10142411,GRHL1,protein_coding
ENSG00000215033,Protein LOC100996760  [Source:UniProtKB/TrEMBL;Acc:A6NF06],10,47746962,47770871,AL603965.1,protein_coding
ENSG00000223742,,X,28589649,28604512,RP11-149B9.2,lincRNA
ENSG00000145293,enolase-phosphatase 1 [Source:HGNC Symbol;Acc:24599],4,83351715,83382244,ENOPH1,protein_coding
ENSG00000248837,,4,22999174,23058485,RP11-412P11.1,lincRNA
ENSG00000167840,zinc finger protein 232 [Source:HGNC Symbol;Acc:13026],17,5008836,5026411,ZNF232,protein_coding
ENSG00000249645,,4,23107125,23125110,RP11-552M14.1,lincRNA
ENSG00000196917,hydroxycarboxylic acid receptor 1 [Source:HGNC Symbol;Acc:4532],12,123104824,123215390,HCAR1,protein_coding
ENSG00000249547,,4,23236248,23287196,RP11-453O5.1,lincRNA
ENSG00000165379,leucine rich repeat and fibronectin type III domain containing 5 [Source:HGNC Symbol;Acc:20360],14,42076773,42373752,LRFN5,protein_coding
ENSG00000126460,proline rich Gla (G-carboxyglutamic acid) 2 [Source:HGNC Symbol;Acc:9470],19,50083903,50094272,PRRG2,protein_coding
ENSG00000259384,growth hormone 1 [Source:HGNC Symbol;Acc:4261],17,61994560,61996179,GH1,protein_coding
ENSG00000251292,,4,23724885,23735202,RP11-380P13.2,lincRNA
ENSG00000182782,hydroxycarboxylic acid receptor 2 [Source:HGNC Symbol;Acc:24827],12,123185840,123187890,HCAR2,protein_coding
ENSG00000152726,"family with sequence similarity 21, member B [Source:HGNC Symbol;Acc:23417]",10,47894023,47949412,FAM21B,protein_coding
ENSG00000255398,hydroxycarboxylic acid receptor 3 [Source:HGNC Symbol;Acc:16824],12,123199303,123201439,HCAR3,protein_coding
ENSG00000154277,ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase) [Source:HGNC Symbol;Acc:12513],4,41258430,41270472,UCHL1,protein_coding
ENSG00000144566,"RAB5A, member RAS oncogene family [Source:HGNC Symbol;Acc:9783]",3,19988571,20026667,RAB5A,protein_coding
ENSG00000139629,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6) [Source:HGNC Symbol;Acc:4128],12,51745031,51786651,GALNT6,protein_coding
ENSG00000172889,"EGF-like-domain, multiple 7 [Source:HGNC Symbol;Acc:20594]",9,139553308,139567130,EGFL7,protein_coding
ENSG00000173137,aarF domain containing kinase 5 [Source:HGNC Symbol;Acc:21738],8,145596790,145618457,ADCK5,protein_coding
ENSG00000261121,,4,24661479,24673191,RP11-496D24.2,lincRNA
ENSG00000189139,fibrous sheath CABYR binding protein [Source:HGNC Symbol;Acc:20494],14,44973545,44976482,FSCB,protein_coding
ENSG00000103426,CORO7-PAM16 readthrough [Source:HGNC Symbol;Acc:44424],16,4390252,4470495,CORO7-PAM16,protein_coding
ENSG00000249242,transmembrane protein 150C [Source:HGNC Symbol;Acc:37263],4,83404323,83483510,TMEM150C,protein_coding
ENSG00000139726,density-regulated protein [Source:HGNC Symbol;Acc:2769],12,123237321,123255611,DENR,protein_coding
ENSG00000196873,COBW domain containing 3 [Source:HGNC Symbol;Acc:18519],9,70856397,70914929,CBWD3,protein_coding
ENSG00000179476,chromosome 14 open reading frame 28 [Source:HGNC Symbol;Acc:19834],14,45366498,45376460,C14orf28,protein_coding
ENSG00000102580,"DnaJ (Hsp40) homolog, subfamily C, member 3 [Source:HGNC Symbol;Acc:9439]",13,96329393,96447243,DNAJC3,protein_coding
ENSG00000060140,serine/threonine/tyrosine kinase 1 [Source:HGNC Symbol;Acc:18889],12,10771538,10826917,STYK1,protein_coding
ENSG00000248545,,4,25610333,25621087,RP11-302F12.3,lincRNA
ENSG00000138606,Src homology 2 domain containing F [Source:HGNC Symbol;Acc:25116],15,45459412,45493373,SHF,protein_coding
ENSG00000110344,ubiquitination factor E4A [Source:HGNC Symbol;Acc:12499],11,118230300,118269926,UBE4A,protein_coding
ENSG00000126464,proline rich 12 [Source:HGNC Symbol;Acc:29217],19,50094900,50129696,PRR12,protein_coding
ENSG00000010810,"FYN oncogene related to SRC, FGR, YES [Source:HGNC Symbol;Acc:4037]",6,111981535,112194655,FYN,protein_coding
ENSG00000089327,FXYD domain containing ion transport regulator 5 [Source:HGNC Symbol;Acc:4029],19,35645633,35660786,FXYD5,protein_coding
ENSG00000227124,zinc finger protein 717 [Source:HGNC Symbol;Acc:29448],3,75758794,75834734,ZNF717,protein_coding
ENSG00000137496,interleukin 18 binding protein [Source:HGNC Symbol;Acc:5987],11,71709587,71716761,IL18BP,protein_coding
ENSG00000161888,"SPC24, NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:26913]",19,11242196,11266484,SPC24,protein_coding
ENSG00000214029,zinc finger protein 891 [Source:HGNC Symbol;Acc:38709],12,133694740,133707059,ZNF891,protein_coding
ENSG00000119888,epithelial cell adhesion molecule [Source:HGNC Symbol;Acc:11529],2,47572297,47614740,EPCAM,protein_coding
ENSG00000213246,suppressor of Ty 4 homolog 1 (S. cerevisiae) [Source:HGNC Symbol;Acc:11467],17,56422539,56430454,SUPT4H1,protein_coding
ENSG00000115649,cyclin Pas1/PHO80 domain containing 1 [Source:HGNC Symbol;Acc:25220],2,220036619,220042828,CNPPD1,protein_coding
ENSG00000116754,serine/arginine-rich splicing factor 11 [Source:HGNC Symbol;Acc:10782],1,70671365,70718735,SRSF11,protein_coding
ENSG00000173482,"protein tyrosine phosphatase, receptor type, M [Source:HGNC Symbol;Acc:9675]",18,7566780,8406859,PTPRM,protein_coding
ENSG00000169692,1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:HGNC Symbol;Acc:325],9,139567595,139581875,AGPAT2,protein_coding
ENSG00000198168,small VCP/p97-interacting protein [Source:HGNC Symbol;Acc:25238],11,22835345,22851845,SVIP,protein_coding
ENSG00000072163,LIM and senescent cell antigen-like domains 2 [Source:HGNC Symbol;Acc:16084],2,128395956,128439360,LIMS2,protein_coding
ENSG00000100321,synaptogyrin 1 [Source:HGNC Symbol;Acc:11498],22,39745930,39781593,SYNGR1,protein_coding
ENSG00000164654,"missing oocyte, meiosis regulator, homolog (Drosophila) [Source:HGNC Symbol;Acc:21905]",7,7606503,7648560,MIOS,protein_coding
ENSG00000151292,"casein kinase 1, gamma 3 [Source:HGNC Symbol;Acc:2456]",5,122847793,122952739,CSNK1G3,protein_coding
ENSG00000249860,MT-RNR2-like 5 [Source:HGNC Symbol;Acc:37162],10,57358750,57360488,MTRNR2L5,protein_coding
ENSG00000107954,neuralized E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:7761],10,105253736,105352309,NEURL1,protein_coding
ENSG00000143774,guanylate kinase 1 [Source:HGNC Symbol;Acc:4693],1,228327663,228336685,GUK1,protein_coding
ENSG00000103855,CD276 molecule [Source:HGNC Symbol;Acc:19137],15,73976307,74006859,CD276,protein_coding
ENSG00000120889,"tumor necrosis factor receptor superfamily, member 10b [Source:HGNC Symbol;Acc:11905]",8,22877646,22926692,TNFRSF10B,protein_coding
ENSG00000126458,related RAS viral (r-ras) oncogene homolog [Source:HGNC Symbol;Acc:10447],19,50138549,50143458,RRAS,protein_coding
ENSG00000143570,"solute carrier family 39 (zinc transporter), member 1 [Source:HGNC Symbol;Acc:12876]",1,153931575,153940188,SLC39A1,protein_coding
ENSG00000113013,heat shock 70kDa protein 9 (mortalin) [Source:HGNC Symbol;Acc:5244],5,137890571,137911133,HSPA9,protein_coding
ENSG00000122952,ZW10 interacting kinetochore protein [Source:HGNC Symbol;Acc:13195],10,58116989,58121036,ZWINT,protein_coding
ENSG00000122882,ecdysoneless homolog (Drosophila) [Source:HGNC Symbol;Acc:17029],10,74889913,74928813,ECD,protein_coding
ENSG00000147316,microcephalin 1 [Source:HGNC Symbol;Acc:6954],8,6264113,6501144,MCPH1,protein_coding
ENSG00000144891,"angiotensin II receptor, type 1 [Source:HGNC Symbol;Acc:336]",3,148415571,148460795,AGTR1,protein_coding
ENSG00000255359,coiled-coil domain containing 179 [Source:HGNC Symbol;Acc:44653],11,22868477,22881972,CCDC179,protein_coding
ENSG00000137860,"solute carrier family 28 (concentrative nucleoside transporter), member 2 [Source:HGNC Symbol;Acc:11002]",15,45544428,45568149,SLC28A2,protein_coding
ENSG00000102595,UDP-glucose glycoprotein glucosyltransferase 2 [Source:HGNC Symbol;Acc:15664],13,96453834,96705736,UGGT2,protein_coding
ENSG00000233928,,X,33744625,33960397,RP11-305F18.1,lincRNA
ENSG00000251493,forkhead box D1 [Source:HGNC Symbol;Acc:3802],5,72740654,72744352,FOXD1,protein_coding
ENSG00000233571,,X,34224842,34433654,RP11-545D19.1,lincRNA
ENSG00000165716,"family with sequence similarity 69, member B [Source:HGNC Symbol;Acc:28290]",9,139607022,139618502,FAM69B,protein_coding
ENSG00000070756,"poly(A) binding protein, cytoplasmic 1 [Source:HGNC Symbol;Acc:8554]",8,101698044,101735037,PABPC1,protein_coding
ENSG00000117751,"protein phosphatase 1, regulatory subunit 8 [Source:HGNC Symbol;Acc:9296]",1,28157289,28178187,PPP1R8,protein_coding
ENSG00000109063,"myosin, heavy chain 3, skeletal muscle, embryonic [Source:HGNC Symbol;Acc:7573]",17,10531843,10560626,MYH3,protein_coding
ENSG00000197256,KN motif and ankyrin repeat domains 2 [Source:HGNC Symbol;Acc:29300],19,11274943,11308467,KANK2,protein_coding
ENSG00000100324,TGF-beta activated kinase 1/MAP3K7 binding protein 1 [Source:HGNC Symbol;Acc:18157],22,39795746,39833065,TAB1,protein_coding
ENSG00000187398,leucine zipper protein 2 [Source:HGNC Symbol;Acc:23206],11,24518516,25104150,LUZP2,protein_coding
ENSG00000183977,protein phosphatase 2C-like domain containing 1 [Source:HGNC Symbol;Acc:28406],3,20021453,20053822,PP2D1,protein_coding
ENSG00000204003,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:H7C1C5],9,139632619,139642905,LCN6,protein_coding
ENSG00000145741,basic transcription factor 3 [Source:HGNC Symbol;Acc:1125],5,72794233,72801460,BTF3,protein_coding
ENSG00000122515,"zinc finger, MIZ-type containing 2 [Source:HGNC Symbol;Acc:22229]",7,44788180,44809477,ZMIZ2,protein_coding
ENSG00000169598,"DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase) [Source:HGNC Symbol;Acc:2773]",1,3773845,3801993,DFFB,protein_coding
ENSG00000185008,"roundabout, axon guidance receptor, homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:10250]",3,75955846,77699115,ROBO2,protein_coding
ENSG00000138741,"transient receptor potential cation channel, subfamily C, member 3 [Source:HGNC Symbol;Acc:12335]",4,122800182,122872909,TRPC3,protein_coding
ENSG00000187922,lipocalin 10 [Source:HGNC Symbol;Acc:20892],9,139632619,139637808,LCN10,protein_coding
ENSG00000005471,"ATP-binding cassette, sub-family B (MDR/TAP), member 4 [Source:HGNC Symbol;Acc:45]",7,87031013,87109751,ABCB4,protein_coding
ENSG00000240771,Rho guanine nucleotide exchange factor (GEF) 25 [Source:HGNC Symbol;Acc:30275],12,58003963,58013162,ARHGEF25,protein_coding
ENSG00000167272,"processing of precursor 5, ribonuclease P/MRP subunit (S. cerevisiae) [Source:HGNC Symbol;Acc:17689]",12,121016567,121019201,POP5,protein_coding
ENSG00000114166,K(lysine) acetyltransferase 2B [Source:HGNC Symbol;Acc:8638],3,20081515,20195896,KAT2B,protein_coding
ENSG00000118557,polyamine modulated factor 1 binding protein 1 [Source:HGNC Symbol;Acc:17728],16,72146056,72210777,PMFBP1,protein_coding
ENSG00000268302,HCG2018895; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0R2P0],20,25207122,25207370,AL035252.1,protein_coding
ENSG00000251009,,4,25866503,25871172,RP13-494C23.1,lincRNA
ENSG00000126461,SR-related CTD-associated factor 1 [Source:HGNC Symbol;Acc:30403],19,50145382,50161899,SCAF1,protein_coding
ENSG00000147485,peroxidasin homolog (Drosophila)-like [Source:HGNC Symbol;Acc:26359],8,52232138,52722005,PXDNL,protein_coding
ENSG00000128268,"mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:7046]",22,39853349,39888199,MGAT3,protein_coding
ENSG00000171766,glycine amidinotransferase (L-arginine:glycine amidinotransferase) [Source:HGNC Symbol;Acc:4175],15,45653322,45694525,GATM,protein_coding
ENSG00000091879,angiopoietin 2 [Source:HGNC Symbol;Acc:485],8,6357172,6420930,ANGPT2,protein_coding
ENSG00000228537,HDCMB45P; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:Q9P1R7],9,70866135,70866572,AL353608.1,protein_coding
ENSG00000251080,,4,27135618,27141673,RP11-415C15.1,lincRNA
ENSG00000187559,forkhead box D4-like 3 [Source:HGNC Symbol;Acc:18523],9,70917276,70920000,FOXD4L3,protein_coding
ENSG00000100994,"phosphorylase, glycogen; brain [Source:HGNC Symbol;Acc:9723]",20,25228705,25278650,PYGB,protein_coding
ENSG00000205830,,4,27209127,27220026,AC024132.1,lincRNA
ENSG00000249699,,4,27219101,27283847,RP11-415C15.2,lincRNA
ENSG00000251325,,4,27264128,27268876,RP11-415C15.3,lincRNA
ENSG00000130783,coiled-coil domain containing 62 [Source:HGNC Symbol;Acc:30723],12,123258874,123312075,CCDC62,protein_coding
ENSG00000267206,lipocalin 6 [Source:HGNC Symbol;Acc:17337],9,139638463,139642980,LCN6,protein_coding
ENSG00000072786,serine/threonine kinase 10 [Source:HGNC Symbol;Acc:11388],5,171469077,171615390,STK10,protein_coding
ENSG00000251410,,4,27969345,27986685,AC007106.1,lincRNA
ENSG00000250064,,4,28437071,28601897,RP11-123O22.1,lincRNA
ENSG00000118454,ankyrin repeat domain 13C [Source:HGNC Symbol;Acc:25374],1,70726271,70820417,ANKRD13C,protein_coding
ENSG00000254873,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:E9PJD6],11,118267810,118272610,RP11-770J1.5,protein_coding
ENSG00000154330,phosphoglucomutase 5 [Source:HGNC Symbol;Acc:8908],9,70943224,71145977,PGM5,protein_coding
ENSG00000185262,UBA-like domain containing 2 [Source:HGNC Symbol;Acc:28438],17,74261283,74267375,UBALD2,protein_coding
ENSG00000250190,,4,28998146,29016216,RP11-292B1.2,lincRNA
ENSG00000255804,"olfactory receptor, family 6, subfamily J, member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:14707]",14,23102673,23103716,OR6J1,protein_coding
ENSG00000249228,,4,29048213,29050387,RP11-769N22.1,lincRNA
ENSG00000248176,,4,29119930,29204392,RP11-472K22.1,lincRNA
ENSG00000091651,"origin recognition complex, subunit 6 [Source:HGNC Symbol;Acc:17151]",16,46723555,46732306,ORC6,protein_coding
ENSG00000248338,,4,29216020,29222784,RP11-472K22.2,lincRNA
ENSG00000167283,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G [Source:HGNC Symbol;Acc:14247]",11,118271869,118302211,ATP5L,protein_coding
ENSG00000173638,"solute carrier family 19 (folate transporter), member 1 [Source:HGNC Symbol;Acc:10937]",21,46913486,46964325,SLC19A1,protein_coding
ENSG00000100335,mitochondrial elongation factor 1 [Source:HGNC Symbol;Acc:25979],22,39895437,39914137,MIEF1,protein_coding
ENSG00000015171,"zinc finger, MYND-type containing 11 [Source:HGNC Symbol;Acc:16966]",10,180405,300577,ZMYND11,protein_coding
ENSG00000204001,lipocalin 8 [Source:HGNC Symbol;Acc:27038],9,139648838,139652678,LCN8,protein_coding
ENSG00000071243,"inhibitor of growth family, member 3 [Source:HGNC Symbol;Acc:14587]",7,120590803,120617270,ING3,protein_coding
ENSG00000256223,zinc finger protein 10 [Source:HGNC Symbol;Acc:12879],12,133707161,133736051,ZNF10,protein_coding
ENSG00000181778,transmembrane protein 252 [Source:HGNC Symbol;Acc:28537],9,71151496,71155783,TMEM252,protein_coding
ENSG00000241343,ribosomal protein L36a [Source:HGNC Symbol;Acc:10359],X,100645812,100651105,RPL36A,protein_coding
ENSG00000185352,heparan sulfate 6-O-sulfotransferase 3 [Source:HGNC Symbol;Acc:19134],13,96743093,97485671,HS6ST3,protein_coding
ENSG00000268552,HCG2032222; PRO2047; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:Q9UHS2],1,28177085,28177255,AL109927.1,protein_coding
ENSG00000107957,SH3 and PX domains 2A [Source:HGNC Symbol;Acc:23664],10,105348285,105615301,SH3PXD2A,protein_coding
ENSG00000269679,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:Q9NY04],18,77275812,77276057,AC018445.1,protein_coding
ENSG00000177984,lipocalin 15 [Source:HGNC Symbol;Acc:33777],9,139654086,139660707,LCN15,protein_coding
ENSG00000129646,glutamine rich 2 [Source:HGNC Symbol;Acc:25326],17,74270130,74303761,QRICH2,protein_coding
ENSG00000177558,"family with sequence similarity 187, member B [Source:HGNC Symbol;Acc:26366]",19,35715703,35719632,FAM187B,protein_coding
ENSG00000145284,stearoyl-CoA desaturase 5 [Source:HGNC Symbol;Acc:21088],4,83550692,83720010,SCD5,protein_coding
ENSG00000165621,oxoglutarate (alpha-ketoglutarate) receptor 1 [Source:HGNC Symbol;Acc:4531],13,97637973,97646984,OXGR1,protein_coding
ENSG00000164284,"GrpE-like 2, mitochondrial (E. coli) [Source:HGNC Symbol;Acc:21060]",5,148724993,148734146,GRPEL2,protein_coding
ENSG00000071894,"cleavage and polyadenylation specific factor 1, 160kDa [Source:HGNC Symbol;Acc:2324]",8,145618444,145634753,CPSF1,protein_coding
ENSG00000268046,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0R2D6],18,8336437,8337038,AP001094.1,protein_coding
ENSG00000155189,1-acylglycerol-3-phosphate O-acyltransferase 5 [Source:HGNC Symbol;Acc:20886],8,6565878,6617184,AGPAT5,protein_coding
ENSG00000133627,ARP3 actin-related protein 3 homolog B (yeast) [Source:HGNC Symbol;Acc:17256],7,152456834,152552463,ACTR3B,protein_coding
ENSG00000214360,EF-hand calcium binding domain 9 [Source:HGNC Symbol;Acc:34530],5,171621176,171630456,EFCAB9,protein_coding
ENSG00000205363,chromosome 15 open reading frame 59 [Source:HGNC Symbol;Acc:33753],15,74032141,74045088,C15orf59,protein_coding
ENSG00000197568,HERV-H LTR-associating 3 [Source:HGNC Symbol;Acc:4906],1,70820488,70851022,HHLA3,protein_coding
ENSG00000060138,Y box binding protein 3 [Source:HGNC Symbol;Acc:2428],12,10851683,10875911,YBX3,protein_coding
ENSG00000206418,"RAB12, member RAS oncogene family [Source:HGNC Symbol;Acc:31332]",18,8609443,8639379,RAB12,protein_coding
ENSG00000179454,kelch-like family member 28 [Source:HGNC Symbol;Acc:19741],14,45393522,45511525,KLHL28,protein_coding
ENSG00000244187,transmembrane protein 141 [Source:HGNC Symbol;Acc:28211],9,139685807,139687709,TMEM141,protein_coding
ENSG00000112659,cullin 9 [Source:HGNC Symbol;Acc:15982],6,43149913,43192325,CUL9,protein_coding
ENSG00000168246,ubiquitin domain containing 2 [Source:HGNC Symbol;Acc:24463],5,171636644,171711075,UBTD2,protein_coding
ENSG00000130775,thymocyte selection associated family member 2 [Source:HGNC Symbol;Acc:16839],1,28199055,28213196,THEMIS2,protein_coding
ENSG00000128272,activating transcription factor 4 [Source:HGNC Symbol;Acc:786],22,39915700,39918691,ATF4,protein_coding
ENSG00000155463,oxidase (cytochrome c) assembly 1-like [Source:HGNC Symbol;Acc:8526],14,23235731,23241007,OXA1L,protein_coding
ENSG00000203877,ripply transcriptional repressor 2 [Source:HGNC Symbol;Acc:21390],6,84562985,84567234,RIPPLY2,protein_coding
ENSG00000060069,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1 [Source:HGNC Symbol;Acc:2498]",18,77439801,77514510,CTDP1,protein_coding
ENSG00000171004,heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:19133],X,131760044,132095423,HS6ST2,protein_coding
ENSG00000174358,"solute carrier family 6 (neutral amino acid transporter), member 19 [Source:HGNC Symbol;Acc:27960]",5,1201710,1225232,SLC6A19,protein_coding
ENSG00000262246,coronin 7 [Source:HGNC Symbol;Acc:26161],16,4404543,4475706,CORO7,protein_coding
ENSG00000107242,"phosphatidylinositol-4-phosphate 5-kinase, type I, beta [Source:HGNC Symbol;Acc:8995]",9,71320575,71624092,PIP5K1B,protein_coding
ENSG00000168300,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:HGNC Symbol;Acc:30483],8,52730140,52811735,PCMTD1,protein_coding
ENSG00000167139,"TBC1 domain family, member 21 [Source:HGNC Symbol;Acc:28536]",15,74165949,74181555,TBC1D21,protein_coding
ENSG00000145088,ELL associated factor 2 [Source:HGNC Symbol;Acc:23115],3,121554030,121605373,EAF2,protein_coding
ENSG00000198835,"gap junction protein, gamma 2, 47kDa [Source:HGNC Symbol;Acc:17494]",1,228337553,228347527,GJC2,protein_coding
ENSG00000072444,N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2C [Source:HGNC Symbol;Acc:23457],10,48001603,48055018,ASAH2C,protein_coding
ENSG00000164825,"defensin, beta 1 [Source:HGNC Symbol;Acc:2766]",8,6728097,6735544,DEFB1,protein_coding
ENSG00000174705,SH3 and PX domains 2B [Source:HGNC Symbol;Acc:29242],5,171752185,171881527,SH3PXD2B,protein_coding
ENSG00000203684,IBA57 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:32062],1,228351787,228353213,IBA57-AS1,protein_coding
ENSG00000139793,muscleblind-like splicing regulator 2 [Source:HGNC Symbol;Acc:16746],13,97873688,98046374,MBNL2,protein_coding
ENSG00000164822,"defensin, alpha 6, Paneth cell-specific [Source:HGNC Symbol;Acc:2765]",8,6782215,6783598,DEFA6,protein_coding
ENSG00000181873,"IBA57, iron-sulfur cluster assembly homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:27302]",1,228353516,228369958,IBA57,protein_coding
ENSG00000108375,ring finger protein 43 [Source:HGNC Symbol;Acc:18505],17,56429861,56494956,RNF43,protein_coding
ENSG00000213213,coiled-coil domain containing 183 [Source:HGNC Symbol;Acc:28236],9,139690802,139702193,CCDC183,protein_coding
ENSG00000164821,"defensin, alpha 4, corticostatin [Source:HGNC Symbol;Acc:2763]",8,6793344,6795860,DEFA4,protein_coding
ENSG00000126456,interferon regulatory factor 3 [Source:HGNC Symbol;Acc:6118],19,50162826,50169132,IRF3,protein_coding
ENSG00000169683,leucine rich repeat containing 45 [Source:HGNC Symbol;Acc:28302],17,79981178,79989027,LRRC45,protein_coding
ENSG00000144567,"family with sequence similarity 134, member A [Source:HGNC Symbol;Acc:28450]",2,220040947,220050201,FAM134A,protein_coding
ENSG00000206047,"defensin, alpha 1 [Source:HGNC Symbol;Acc:2761]",8,6835171,6837602,DEFA1,protein_coding
